angle,c_angle,error,Trial
-35,-33,2,0
-34,-32,2,0
-33,-33,0,0
-32,-33,-1,0
-31,-32,-1,0
-30,-34,-4,0
-29,-29,0,0
-28,-29,-1,0
-27,-27,0,0
-26,-27,-1,0
-25,-25,0,0
-24,-24,0,0
-23,-23,0,0
-22,-22,0,0
-21,-21,0,0
-20,-19,1,0
-19,-18,1,0
-18,-18,0,0
-17,-17,0,0
-16,-17,-1,0
-15,-15,0,0
-14,-15,-1,0
-13,-12,1,0
-12,-11,1,0
-11,-10,1,0
-10,-11,-1,0
-9,-10,-1,0
-8,-8,0,0
-7,-7,0,0
-6,-6,0,0
-5,-5,0,0
-4,-4,0,0
-3,-3,0,0
-2,-2,0,0
-1,0,1,0
0,0,0,0
1,1,0,0
2,2,0,0
3,3,0,0
4,4,0,0
5,5,0,0
6,5,-1,0
7,7,0,0
8,8,0,0
9,9,0,0
10,10,0,0
11,11,0,0
12,12,0,0
13,12,-1,0
14,14,0,0
15,15,0,0
16,16,0,0
17,17,0,0
18,18,0,0
19,19,0,0
20,20,0,0
21,21,0,0
22,22,0,0
23,23,0,0
24,24,0,0
25,25,0,0
26,26,0,0
27,27,0,0
28,28,0,0
29,29,0,0
30,30,0,0
31,31,0,0
32,32,0,0
33,32,-1,0
34,34,0,0
35,35,0,0
-35,-35,0,1
-34,-32,2,1
-33,-32,1,1
-32,-31,1,1
-31,-31,0,1
-30,-29,1,1
-29,-29,0,1
-28,-28,0,1
-27,-26,1,1
-26,-26,0,1
-25,-25,0,1
-24,-25,-1,1
-23,-22,1,1
-22,-22,0,1
-21,-21,0,1
-20,-19,1,1
-19,-19,0,1
-18,-18,0,1
-17,-16,1,1
-16,-17,-1,1
-15,-15,0,1
-14,-14,0,1
-13,-12,1,1
-12,-12,0,1
-11,-11,0,1
-10,-10,0,1
-9,-9,0,1
-8,-8,0,1
-7,-7,0,1
-6,-6,0,1
-5,-5,0,1
-4,-4,0,1
-3,-3,0,1
-2,-2,0,1
-1,-1,0,1
0,0,0,1
1,1,0,1
2,2,0,1
3,3,0,1
4,4,0,1
5,5,0,1
6,6,0,1
7,7,0,1
8,8,0,1
9,9,0,1
10,10,0,1
11,11,0,1
12,12,0,1
13,13,0,1
14,14,0,1
15,14,-1,1
16,16,0,1
17,17,0,1
18,18,0,1
19,19,0,1
20,20,0,1
21,21,0,1
22,22,0,1
23,23,0,1
24,24,0,1
25,25,0,1
26,26,0,1
27,27,0,1
28,28,0,1
29,29,0,1
30,30,0,1
31,31,0,1
32,32,0,1
33,33,0,1
34,34,0,1
35,35,0,1
-35,-32,3,2
-34,-32,2,2
-33,-32,1,2
-32,-31,1,2
-31,-34,-3,2
-30,-30,0,2
-29,-29,0,2
-28,-28,0,2
-27,-26,1,2
-26,-25,1,2
-25,-26,-1,2
-24,-24,0,2
-23,-25,-2,2
-22,-23,-1,2
-21,-21,0,2
-20,-20,0,2
-19,-19,0,2
-18,-17,1,2
-17,-18,-1,2
-16,-17,-1,2
-15,-14,1,2
-14,-13,1,2
-13,-13,0,2
-12,-12,0,2
-11,-10,1,2
-10,-11,-1,2
-9,-8,1,2
-8,-8,0,2
-7,-7,0,2
-6,-6,0,2
-5,-5,0,2
-4,-4,0,2
-3,-3,0,2
-2,-2,0,2
-1,-1,0,2
0,0,0,2
1,2,1,2
2,2,0,2
3,3,0,2
4,4,0,2
5,5,0,2
6,6,0,2
7,7,0,2
8,8,0,2
9,9,0,2
10,10,0,2
11,11,0,2
12,12,0,2
13,12,-1,2
14,14,0,2
15,15,0,2
16,16,0,2
17,17,0,2
18,18,0,2
19,19,0,2
20,20,0,2
21,21,0,2
22,22,0,2
23,23,0,2
24,24,0,2
25,25,0,2
26,26,0,2
27,27,0,2
28,28,0,2
29,29,0,2
30,30,0,2
31,31,0,2
32,32,0,2
33,32,-1,2
34,34,0,2
35,35,0,2
-35,-35,0,3
-34,-34,0,3
-33,-31,2,3
-32,-32,0,3
-31,-31,0,3
-30,-29,1,3
-29,-29,0,3
-28,-28,0,3
-27,-27,0,3
-26,-27,-1,3
-25,-27,-2,3
-24,-24,0,3
-23,-25,-2,3
-22,-22,0,3
-21,-21,0,3
-20,-19,1,3
-19,-19,0,3
-18,-18,0,3
-17,-17,0,3
-16,-16,0,3
-15,-14,1,3
-14,-15,-1,3
-13,-12,1,3
-12,-12,0,3
-11,-11,0,3
-10,-10,0,3
-9,-9,0,3
-8,-8,0,3
-7,-6,1,3
-6,-6,0,3
-5,-5,0,3
-4,-4,0,3
-3,-3,0,3
-2,-2,0,3
-1,0,1,3
0,0,0,3
1,1,0,3
2,2,0,3
3,3,0,3
4,4,0,3
5,5,0,3
6,5,-1,3
7,7,0,3
8,8,0,3
9,9,0,3
10,10,0,3
11,11,0,3
12,12,0,3
13,13,0,3
14,14,0,3
15,15,0,3
16,16,0,3
17,17,0,3
18,18,0,3
19,19,0,3
20,20,0,3
21,21,0,3
22,22,0,3
23,23,0,3
24,24,0,3
25,25,0,3
26,26,0,3
27,27,0,3
28,28,0,3
29,29,0,3
30,30,0,3
31,31,0,3
32,32,0,3
33,33,0,3
34,34,0,3
35,35,0,3
-35,-35,0,4
-34,-35,-1,4
-33,-32,1,4
-32,-32,0,4
-31,-31,0,4
-30,-30,0,4
-29,-30,-1,4
-28,-28,0,4
-27,-28,-1,4
-26,-27,-1,4
-25,-25,0,4
-24,-25,-1,4
-23,-25,-2,4
-22,-22,0,4
-21,-19,2,4
-20,-19,1,4
-19,-19,0,4
-18,-18,0,4
-17,-17,0,4
-16,-17,-1,4
-15,-15,0,4
-14,-14,0,4
-13,-12,1,4
-12,-12,0,4
-11,-12,-1,4
-10,-9,1,4
-9,-9,0,4
-8,-8,0,4
-7,-7,0,4
-6,-5,1,4
-5,-6,-1,4
-4,-4,0,4
-3,-3,0,4
-2,-2,0,4
-1,-1,0,4
0,-1,-1,4
1,1,0,4
2,2,0,4
3,3,0,4
4,4,0,4
5,5,0,4
6,6,0,4
7,7,0,4
8,8,0,4
9,9,0,4
10,10,0,4
11,11,0,4
12,12,0,4
13,13,0,4
14,14,0,4
15,15,0,4
16,16,0,4
17,17,0,4
18,18,0,4
19,19,0,4
20,20,0,4
21,21,0,4
22,22,0,4
23,23,0,4
24,23,-1,4
25,25,0,4
26,26,0,4
27,27,0,4
28,28,0,4
29,29,0,4
30,30,0,4
31,31,0,4
32,32,0,4
33,33,0,4
34,34,0,4
35,35,0,4
-35,-35,0,5
-34,-34,0,5
-33,-32,1,5
-32,-32,0,5
-31,-31,0,5
-30,-30,0,5
-29,-30,-1,5
-28,-28,0,5
-27,-27,0,5
-26,-26,0,5
-25,-25,0,5
-24,-23,1,5
-23,-23,0,5
-22,-22,0,5
-21,-21,0,5
-20,-22,-2,5
-19,-19,0,5
-18,-17,1,5
-17,-16,1,5
-16,-14,2,5
-15,-15,0,5
-14,-15,-1,5
-13,-12,1,5
-12,-13,-1,5
-11,-10,1,5
-10,-10,0,5
-9,-8,1,5
-8,-8,0,5
-7,-8,-1,5
-6,-5,1,5
-5,-6,-1,5
-4,-4,0,5
-3,-3,0,5
-2,0,2,5
-1,0,1,5
0,0,0,5
1,1,0,5
2,2,0,5
3,4,1,5
4,4,0,5
5,5,0,5
6,6,0,5
7,7,0,5
8,8,0,5
9,9,0,5
10,10,0,5
11,11,0,5
12,12,0,5
13,13,0,5
14,14,0,5
15,15,0,5
16,16,0,5
17,17,0,5
18,18,0,5
19,19,0,5
20,20,0,5
21,21,0,5
22,22,0,5
23,23,0,5
24,24,0,5
25,25,0,5
26,26,0,5
27,27,0,5
28,28,0,5
29,29,0,5
30,30,0,5
31,31,0,5
32,32,0,5
33,33,0,5
34,34,0,5
35,35,0,5
-35,-35,0,6
-34,-34,0,6
-33,-34,-1,6
-32,-31,1,6
-31,-29,2,6
-30,-31,-1,6
-29,-30,-1,6
-28,-28,0,6
-27,-28,-1,6
-26,-27,-1,6
-25,-24,1,6
-24,-24,0,6
-23,-23,0,6
-22,-25,-3,6
-21,-19,2,6
-20,-19,1,6
-19,-21,-2,6
-18,-18,0,6
-17,-17,0,6
-16,-17,-1,6
-15,-16,-1,6
-14,-14,0,6
-13,-13,0,6
-12,-12,0,6
-11,-11,0,6
-10,-11,-1,6
-9,-8,1,6
-8,-8,0,6
-7,-7,0,6
-6,-5,1,6
-5,-5,0,6
-4,-4,0,6
-3,-3,0,6
-2,-2,0,6
-1,-1,0,6
0,0,0,6
1,1,0,6
2,2,0,6
3,3,0,6
4,4,0,6
5,5,0,6
6,6,0,6
7,6,-1,6
8,8,0,6
9,9,0,6
10,10,0,6
11,11,0,6
12,12,0,6
13,13,0,6
14,14,0,6
15,15,0,6
16,16,0,6
17,17,0,6
18,18,0,6
19,19,0,6
20,20,0,6
21,21,0,6
22,22,0,6
23,23,0,6
24,24,0,6
25,25,0,6
26,26,0,6
27,27,0,6
28,28,0,6
29,29,0,6
30,31,1,6
31,31,0,6
32,32,0,6
33,33,0,6
34,34,0,6
35,35,0,6
-35,-35,0,7
-34,-34,0,7
-33,-33,0,7
-32,-32,0,7
-31,-33,-2,7
-30,-32,-2,7
-29,-31,-2,7
-28,-29,-1,7
-27,-27,0,7
-26,-27,-1,7
-25,-26,-1,7
-24,-25,-1,7
-23,-25,-2,7
-22,-21,1,7
-21,-21,0,7
-20,-19,1,7
-19,-19,0,7
-18,-18,0,7
-17,-18,-1,7
-16,-17,-1,7
-15,-14,1,7
-14,-14,0,7
-13,-14,-1,7
-12,-12,0,7
-11,-11,0,7
-10,-10,0,7
-9,-8,1,7
-8,-8,0,7
-7,-6,1,7
-6,-6,0,7
-5,-6,-1,7
-4,-4,0,7
-3,-3,0,7
-2,-2,0,7
-1,-1,0,7
0,0,0,7
1,2,1,7
2,2,0,7
3,3,0,7
4,4,0,7
5,5,0,7
6,6,0,7
7,7,0,7
8,8,0,7
9,9,0,7
10,10,0,7
11,11,0,7
12,12,0,7
13,13,0,7
14,14,0,7
15,15,0,7
16,16,0,7
17,17,0,7
18,18,0,7
19,19,0,7
20,20,0,7
21,21,0,7
22,22,0,7
23,23,0,7
24,24,0,7
25,25,0,7
26,26,0,7
27,27,0,7
28,28,0,7
29,29,0,7
30,30,0,7
31,31,0,7
32,32,0,7
33,33,0,7
34,34,0,7
35,35,0,7
-35,-35,0,8
-34,-31,3,8
-33,-31,2,8
-32,-34,-2,8
-31,-32,-1,8
-30,-30,0,8
-29,-30,-1,8
-28,-29,-1,8
-27,-27,0,8
-26,-26,0,8
-25,-24,1,8
-24,-25,-1,8
-23,-23,0,8
-22,-23,-1,8
-21,-21,0,8
-20,-19,1,8
-19,-18,1,8
-18,-18,0,8
-17,-17,0,8
-16,-17,-1,8
-15,-15,0,8
-14,-14,0,8
-13,-13,0,8
-12,-11,1,8
-11,-12,-1,8
-10,-10,0,8
-9,-9,0,8
-8,-9,-1,8
-7,-7,0,8
-6,-6,0,8
-5,-5,0,8
-4,-5,-1,8
-3,-3,0,8
-2,0,2,8
-1,-1,0,8
0,0,0,8
1,1,0,8
2,2,0,8
3,3,0,8
4,4,0,8
5,6,1,8
6,6,0,8
7,7,0,8
8,8,0,8
9,9,0,8
10,10,0,8
11,11,0,8
12,12,0,8
13,12,-1,8
14,15,1,8
15,15,0,8
16,16,0,8
17,17,0,8
18,18,0,8
19,19,0,8
20,20,0,8
21,22,1,8
22,22,0,8
23,23,0,8
24,24,0,8
25,25,0,8
26,26,0,8
27,27,0,8
28,28,0,8
29,29,0,8
30,30,0,8
31,31,0,8
32,32,0,8
33,33,0,8
34,34,0,8
35,35,0,8
